Codigo,Diam_Exterior,Diam_Interior,Largo,Materia_Prima,Aplicacion
AV 8584,41,50.15,6.2,624710,25
AV 8585,31.9,41.6,9,452912,26
AV 8586,33,43.14,8.2,463210,27
AV 8587,32,43.14,7.5,352309,28
AV 8588,67,80.86,14.3,54389.5,29
AV 8589,67,80.86,13.55,463210,30
AV 8590,49,60.48,8.2,503112,31
AV 8591,51.4,60.48,8.2,503112,32
AV 8592,33,39.15,7.5,503112,33
AV 8593,27,32.71,7.5,463210,34
AV 8595,39,48.1,7,503112,35
AV 8596,31.2,39.3,7.5,503112,36
AV 8597,28.4,36.8,7.5,503112,37
AV 8598,26,31.15,6,463210,38
AV 8599,21.5,27.35,6,503112,39
AV 8600,27,34.11,6,503112,40
AV 8601,24,31.15,6,503112,41
